query,query_language,doc_id,doc_title,doc_snippet,relevant,annotator
education system,en,https://www.dhakatribune.com/bangladesh/education/400598/online-applications-for-mpo-enlistment-open-till,Online applications for MPO enlistment open till Jan 25,The Ministry of Education has issued a public notice inviting online applications for enlistment of non-government schools and colleges under the Mont,Yes,Nuh
education system,en,https://www.thedailystar.net/news/minimum-standard-of-edn-a-must-for-mpo-farruk,Minimum standard of edn a must for MPO: Farruk,"Education Minister Dr. Osman Farruk yesterday said Monthly Pay Order (MPO) and government grants to educational institutions must not be a ""permanent ",Yes,Nuh
education system,en,https://www.newagebd.net/post/politics/279309/no-edn-reform-commission-reflects-neglect-bnp,No edn reform commission reflects neglect: BNP,"Bangladesh Nationalist Party leader Abdul Moyeen Khan alleged that despite many reform commissions were formed in other sectors post uprising, none wa",Yes,Nuh
education system,en,https://www.newagebd.net/post/education/284091/disasters-disrupt-education,Disasters disrupt education,Different natural and human-made disasters are adversely affecting the country’s education sector by lowering quality of education and damaging infras,Yes,Nuh
education system,en,https://www.thedailystar.net/news/education-policy-2o1o-keeping-the-promise,Education policy 2O1O: Keeping the promise,A new National Education Policy was announced by the government in June 2010. It had the potential of initiating a process of much needed reform in th,Yes,Nuh
education system,en,https://www.tbsnews.net/features/pursuit/ai-will-soon-force-bangladesh-rethink-how-students-learn-1283131,AI will soon force Bangladesh to rethink how students learn,"Imagine a dedicated science teacher in a classroom in Dhaka, posing a thoughtful question to his students. ""Think about this overnight,"" he says. ""Who",Yes,Nuh
education system,en,https://www.dhakatribune.com/entertainment/387398/202507251905,AI-powered international English learning app ‘ELSA Speak’ officially launches in Bangladesh,"Language is not just a tool for communication—it is a powerful means of building confidence. Whether it's applying for jobs, studying abroad, attendin",Yes,Nuh
education system,en,https://www.tbsnews.net/bangladesh/education/no-final-exams-class-3-2021,No final exams up to class 3 from 2021,"Students of classes 1, 2 and 3 will not be required to take annual examinations from 2021, but their evaluation will continue round the year, said Akr",Yes,Nuh
education system,en,https://www.newagebd.net/post/campus-bites/279994/aaub-holds-18th-syndicate-meeting,AAUB holds 18th syndicate meeting,"The Aviation and Aerospace University, Bangladesh held its 18th syndicate meeting at the conference room of AAUB in Lalmonirhat on Thursday. AAUB vice",Yes,Nuh
education system,en,https://www.newagebd.net/post/editorial/277422/showpiece-signals-reflect-dhakas-habit-of-superficial-fixes,Showpiece signals reflect Dhaka’s habit of superficial fixes,THE failure of automation attempts in Dhaka’s traffic management is both worrying and symptomatic of a broader inertia in urban governance. Despite re,Yes,Nuh
education system,en,https://www.prothomalo.com/bangladesh/v78p0s8278,শিক্ষার মানোন্নয়নে শাসকশ্রেণির ভূমিকা নেই: অধ্যাপক রেহমান সোবহান,"সবার জন্য মানসম্মত শিক্ষা নিশ্চিত করতে বা শিক্ষার মানোন্নয়নে শাসকশ্রেণির কোনো ভূমিকা দেখছেন না অধ্যাপক রেহমান সোবহান। তিনি বলেন, যাঁরা শাসকশ্রেণির অন্",Yes,Nuh
education system,en,https://www.prothomalo.com/bangladesh/district/rkz6zecazs,এলাকাটি যেন ‘শিক্ষার হাট’,পবনাপুর ইউনিয়নে সরকারি-বেসরকারি ৪০টি শিক্ষাপ্রতিষ্ঠান রয়েছে। এর মধ্যে ১৩টিই ফকিরহাট এলাকায়। দুই কিলোমিটার দূরত্বের মধ্যে গড়ে উঠেছে ১৩টি শিক্ষাপ্রতিষ্ঠ,Yes,Nuh
education system,en,https://www.prothomalo.com/bangladesh/district/ch4my2e972,‘ছেলে আমাকে সেরা মায়ের সম্মান দিয়ে গেল’,"‘আমার তো অনেক আশা ছিল। আমার ছেলে পড়ালেখা করে অ্যাওয়ার্ড নিয়ে আসবে। আমি সেরা মা হব। সে ইচ্ছা যে এভাবে ফলে যাবে, তা কে জানত। আমার বাবা যে এত বড় অ্যাওয়ার",No,Nuh
education system,en,https://www.dhakapost.com/politics/399912,"নৈতিকতাহীন শিক্ষাব্যবস্থা পশু তৈরি করছে, মানুষ নয়","দেশের শিক্ষাব্যবস্থা নিয়ে প্রশ্ন তুলে বাংলাদেশ জামায়াতে ইসলামীর সেক্রেটারি জেনারেল অধ্যাপক মিয়া গোলাম পরওয়ার বলেছেন, শুধু সেক্যুলার শিক্ষা মানুষকে নৈত",Yes,Nuh
education system,en,https://www.prothomalo.com/bangladesh/শিক্ষাপ্রতিষ্ঠান-ধ্বংসকারীরা-সভ্যতার-শত্রু,শিক্ষাপ্রতিষ্ঠান ধ্বংসকারীরা সভ্যতার শত্রু: শিক্ষামন্ত্রী,নির্বাচন প্রতিরোধের নামে পেট্রল ও গান পাউডার দিয়ে স্কুল-কলেজ-মাদ্রাসা পুড়িয়ে দেওয়ায় তীব্র ক্ষোভ প্রকাশ করেছেন শিক্ষামন্ত্রী নুরুল ইসলাম নাহিদ।আজ শনিবা,Yes,Nuh
education system,en,https://www.newagebd.net/post/education/277395/durga-puja-holiday-starts-for-edn-instts-today,Durga Puja holiday starts for edn instts today,"A long holiday marking Durga Puja, the largest religious festival of the Hindu community, starts today at all educational institutions, from primary t",Yes,Nuh
education system,en,https://www.bd-pratidin.com/entertainment/2026/02/03/1212680,টিএসসিতে ‘আমার ভাষার চলচ্চিত্র’ উৎসব শুরু আজ,ভাষা আন্দোলনের চেতনাকে সামনে রেখে ঢাকা বিশ্ববিদ্যালয়ের ছাত্র-শিক্ষক কেন্দ্র (টিএসসি)-তে আজ ৩ ফেব্রুয়ারি শুরু হচ্ছে ছয় দিনব্যাপী চলচ্চিত্র উৎসব ‘আমার ভ,Yes,Nuh
education system,en,https://www.prothomalo.com/opinion/editorial/1ti0nes1s6,৯৯১টি শূন্য পদ থাকাটা হতাশাজনক,"পার্বত্য চট্টগ্রামে শিক্ষা ও স্বাস্থ্যসেবার ঘাটতির বিষয়টি কারও অজানা নয়। শিক্ষার ক্ষেত্রে এ বাস্তবতার প্রকাশ ঘটে, যখন আমরা জানতে পারি, রাঙামাটি জেলায় ",Yes,Nuh
education system,en,https://www.dhakatribune.com/feature/261452/dipu-moni-no-closure-of-schools-unless-necessary,Dipu Moni: No closure of schools unless necessary,"The government does not want to close down education institutions, Education Minister Dipu Moni has said.

“The educational institutes had to be close",Yes,Nuh
education system,en,https://www.prothomalo.com/bangladesh/district/npt8pzeoa3,বিনা মূল্যে বই বিতরণে বাংলাদেশ অনন্য দৃষ্টান্ত স্থাপন করেছে: শিক্ষামন্ত্রী,"শিক্ষামন্ত্রী দীপু মনি বলেছেন, সারা দেশে আজ বই উৎসব হয়েছে। সারা পৃথিবীতে বাংলাদেশ অনন্য দৃষ্টান্ত স্থাপন করেছে, যেখানে বছরের প্রথম দিন বই উৎসব হয় এব",Yes,Nuh
education system,en,https://www.newagebd.net/post/campus-bites/277771/it-education-essential-for-students-nu-vc,IT education essential for students: NU VC,Vice-chancellor of the National University Professor ASM Amanullah at a workshop in Dhaka on Tuesday said that to survive in the competition for emplo,Yes,Nuh
education system,en,https://www.dhakatribune.com/feature/263992/educational-institutes-to-reopen-on-feb-22,Educational institutes to reopen on Feb 22,"In-person classes at school and colleges for fully vaccinated students across the country will restart from February 22, Education Minister Dipu Moni ",Yes,Nuh
education system,en,https://www.newagebd.net/post/banking/282810/aib-launches-training-on-ababil-ng-core-banking-system,AIB launches training on Ababil NG core banking system,Al-Arafah Islami Bank took initiative to transform into a modern ‘Ababil NG (Next Generation)’ core banking system through its internal Project Nebula,Yes,Nuh
education system,en,https://www.tbsnews.net/economy/agriculture/marketing-system-needs-reform-farmers-wellbeing-experts-104938,Marketing system needs reform for farmers’ wellbeing: Experts,"Farmers of the country cannot be benefited under the conventional agricultural marketing system here, according to experts. It is necessary to devise ",No,Nuh
education system,en,https://www.dhakatribune.com/epaper/312464/the-astounding-triumph-of-tobacco-harm-reduction,The astounding triumph of tobacco harm reduction in Sweden,"If there were any lingering doubts about the effectiveness of Tobacco Harm Reduction (THR) policies in ushering a country into a smoke-free era, Swede",No,Nuh
education system,en,https://www.newagebd.net/post/opinion/277021/rights-to-education-and-health,Rights to education and health,"Globally, it is recognised that ‘educating children’ gives the next generation the most effective tools to fight poverty, prevent diseases, build resi",Yes,Nuh
education system,en,https://dailynewnation.com/integrated-approach-needed-to-address-challenges-in-higher-education-dr-abrar,Integrated approach needed to address challenges in higher education: Dr Abrar,Education Adviser Prof Dr. Chowdhury Rafiqul Abrar stressed on integrated approach to address the existing challenges in the country’s higher educatio,Yes,Nuh
education system,en,https://www.dhakatribune.com/feature/career/400917/202601121601,"Meet Mahmood Moosa Syed, the entrepreneur simplifying international education for Bangladeshi students","As international education continues to attract thousands of Bangladeshi students each year, the demand for transparent, ethical, and reliable guidanc",Yes,Nuh
education system,en,https://www.dhakatribune.com/epaper/312465/experts-tobacco-harm-reduction-framework,Experts: Tobacco Harm Reduction framework necessary to achieve PM’s smoke-free vision by 2040,"International health experts speaking at a harm reduction summit held today, discussed the need to regulate less harmful alternatives of nicotine deli",Yes,Nuh
education system,en,https://dailynewnation.com/ssc-exam-2026-form-filling-notice-published,SSC exam 2026 form filling notice published,The Dhaka Education Board published a notification for filling the form for the Secondary School Certificate (SSC) examination of 2026.The process of,Yes,Nuh
education system,en,https://www.dhakatribune.com/feature/388315/how-digital-communication-is-redefining,How digital communication is redefining school-parent communication,"Two parties play the most instrumental role in a child’s learning journey at school: the parents and the school authorities, particularly the teachers",Yes,Nuh
education system,en,https://www.dhakatribune.com/bangladesh/400922/bangladesh-to-launch-%E2%80%98mun-alert%E2%80%99-system-toll-free,"Bangladesh to launch ‘MUN Alert’ system, toll-free helpline 13219 to rescue missing children",Bangladesh is set to introduce its first national emergency alert system—Missing Urgent Notification (MUN Alert)—to speed up the rescue of missing and,No,Nuh
শিক্ষা,bn,https://www.bd-pratidin.com/national/2026/01/18/1206302,মাউশি ভেঙে দুই অধিদফতরের কাঠামো গঠনে কমিটি,মাধ্যমিক ও উচ্চ শিক্ষা অধিদফতর (মাউশি) ভেঙে দুই ভাগ করার চূড়ান্ত সিদ্ধান্ত নেওয়া হয়েছে। রবিবার শিক্ষা মন্ত্রণালয়ের সভাকক্ষে আন্তঃমন্ত্রণালয়ের এক সভায়,Yes,Nuh
শিক্ষা,bn,https://www.bd-pratidin.com/national/2026/01/26/1209508,শিক্ষাপ্রতিষ্ঠানের ১০০ মিটারের মধ্যে তামাকজাত পণ্য বিক্রি নিষিদ্ধ,দেশের সকল শিক্ষা প্রতিষ্ঠান ও সংশ্লিষ্ট অফিসগুলোতে অসংক্রামক রোগ প্রতিরোধ এবং তামাকমুক্ত পরিবেশ নিশ্চিত করতে কঠোর নির্দেশনা জারি করেছে সরকার। মাধ্যমিক,Yes,Nuh
শিক্ষা,bn,https://www.banglatribune.com/country/60507/%E0%A6%9A%E0%A6%B0%E0%A6%AB%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B6%E0%A6%A8%E0%A7%87-%E0%A6%AA%E0%A6%BF%E0%A6%8F%E0%A6%B8%E0%A6%B8%E0%A6%BF-%E0%A6%AA%E0%A6%B0%E0%A7%80%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE%E0%A6%B0-%E0%A6%89%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%B0-%E0%A6%A8%E0%A6%BF%E0%A7%9F%E0%A7%87-%E0%A6%A8%E0%A6%BE%E0%A6%A8%E0%A6%BE,চরফ্যাশনে পিএসসি পরীক্ষার উত্তরপত্র নিয়ে নানা অভিযোগ,ভোলার চরফ্যাশনে প্রাথমিক বিদ্যালয়ের সমাপনী (পিএসসি) পরীক্ষার উত্তরপত্রে গত বছরের মত এবারও কোড ত্রুটিসহ নানা ধরনের ঘাপলার অভিযোগ উঠেছে। লাখ লাখ টাকা হা,Yes,Nuh
শিক্ষা,bn,https://www.dhakapost.com/education/416625,"মাদ্রাসায় চালু হচ্ছে ‘ব্যবসায় শিক্ষা’, অনুমোদন পেতে শর্ত প্রযোজ্য",বাংলাদেশের মাদ্রাসা শিক্ষাব্যবস্থায় প্রথমবারের মতো দাখিল (এসএসসি সমমান) স্তরে ব্যবসায় শিক্ষা বিভাগ চালু হতে যাচ্ছে। আগামী শিক্ষাবর্ষ থেকেই দেশব্যাপী,Yes,Nuh
শিক্ষা,bn,https://www.bd-pratidin.com/national/2026/01/16/1205348,উচ্চতর ডিগ্রিধারী শিক্ষা ক্যাডার কর্মকর্তাদের গবেষণার তথ্য উপস্থাপনের নির্দেশ,"বিসিএস সাধারণ শিক্ষা ক্যাডারের যেসব কর্মকর্তা গত এক বছরের মধ্যে পিএইচডি, এমফিল বা এমএস ডিগ্রি সম্পন্ন করেছেন, তাদের গবেষণার সারসংক্ষেপ শিক্ষা মন্ত্রণা",Yes,Nuh
শিক্ষা,bn,https://www.bd-pratidin.com/national/2026/01/18/1206256,‘হ্যাঁ’ ভোট দিতে সব শিক্ষা প্রতিষ্ঠানে প্রচারণা চালানোর সিদ্ধান্ত,"আসন্ন গণভোটে শিক্ষার্থীদের ‘হ্যাঁ’ ভোট দিতে উদ্বুদ্ধ করতে দেশের সব বিশ্ববিদ্যালয়, কলেজ, স্কুল ও মাদরাসা পর্যায়ে প্রচারণা চালানো হবে। প্রচারণার অংশ হিস",Yes,Nuh
শিক্ষা,bn,https://www.dhakapost.com/politics/400252,শিক্ষকদের জন্য কমিশন গঠন করবে বিএনপি : তারেক রহমান,"শিক্ষকদের আর্থিক নিরাপত্তা, চাকরির স্থায়ীকরণ ও সম্মানজনক অবস্থান নিশ্চিত করতে উচ্চপর্যায়ের কমিশন গঠনের ঘোষণা দিয়েছেন বিএনপির ভারপ্রাপ্ত চেয়ারম্যান",Yes,Nuh
শিক্ষা,bn,https://www.banglatribune.com/sport/other-sports/64891/%E0%A6%B9%E0%A6%BE%E0%A6%AA%E0%A6%BE-%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A7%80%E0%A7%9F-%E0%A6%AC%E0%A7%87%E0%A6%B8%E0%A6%AC%E0%A6%B2%E0%A7%87-%E0%A6%9A%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A7%9F%E0%A6%A8-%E0%A6%B8%E0%A6%BF%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A6%97%E0%A6%9E%E0%A7%8D%E0%A6%9C-%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A7%80%E0%A7%9C%E0%A6%BE,হাপা জাতীয় বেসবলে চ্যাম্পিয়ন সিরাজগঞ্জ ক্রীড়া শিক্ষা প্রতিষ্ঠান,বাংলাদেশ বেসবল-সফটবল এসোসিয়েশনের ব্যবস্থাপনায় হাপা জাতীয় বেসবলের শিরোপা জিতেছে সিরাজগঞ্জ ক্রীড়া শিক্ষা প্রতিষ্ঠান (এসকেএসপি)।রবিবার বিকেলে পল্টন মাঠে,No,Nuh
শিক্ষা,bn,https://www.banglatribune.com/educations/65979/%E0%A6%87%E0%A6%89%E0%A6%9C%E0%A6%BF%E0%A6%B8%E0%A6%BF%E0%A6%B0-%E0%A6%A8%E0%A6%A4%E0%A7%81%E0%A6%A8-%E0%A6%93%E0%A7%9F%E0%A7%87%E0%A6%AC%E0%A6%B8%E0%A6%BE%E0%A6%87%E0%A6%9F-%E0%A6%89%E0%A6%A6%E0%A7%8D%E0%A6%AC%E0%A7%8B%E0%A6%A7%E0%A6%A8,ইউজিসির নতুন ওয়েবসাইট উদ্বোধন,"ডাক, টেলিযোগাযোগ ও তথ্যপ্রযুক্তি প্রতিমন্ত্রী জুনাইদ আহমেদ পলক বলেছেন, একবিংশ শতাব্দীতে বর্তমান বিশ্বের সঙ্গে তাল মিলিয়ে চলতে ডায়নামিক, স্মার্ট ও ইন্ট",Yes,Nuh
শিক্ষা,bn,https://www.banglatribune.com/educations/66861/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%95-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%A5%E0%A6%AE%E0%A6%BF%E0%A6%95-%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%95-%E0%A6%A8%E0%A6%BF%E0%A7%9F%E0%A7%8B%E0%A6%97%E0%A7%87%E0%A6%B0-%E0%A6%AB%E0%A6%B2-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%95%E0%A6%BE%E0%A6%B6,প্রাক-প্রাথমিক শিক্ষক নিয়োগের ফল প্রকাশ,আজ রবিবার (৩ জানুয়ারি) প্রাক-প্রাথমিক শিক্ষার জন্য সহকারী শিক্ষক নিয়োগের চূড়ান্ত ফল প্রকাশ করেছে প্রাথমিক ও গণশিক্ষা অধিদফতর। এতে ১৩ হাজার ৯৭৪ জন্য প্,Yes,Nuh
শিক্ষা,bn,https://www.prothomalo.com/bangladesh/district/rkz6zecazs,এলাকাটি যেন ‘শিক্ষার হাট’,পবনাপুর ইউনিয়নে সরকারি-বেসরকারি ৪০টি শিক্ষাপ্রতিষ্ঠান রয়েছে। এর মধ্যে ১৩টিই ফকিরহাট এলাকায়। দুই কিলোমিটার দূরত্বের মধ্যে গড়ে উঠেছে ১৩টি শিক্ষাপ্রতিষ্ঠ,Yes,Nuh
শিক্ষা,bn,https://www.prothomalo.com/bangladesh/v78p0s8278,শিক্ষার মানোন্নয়নে শাসকশ্রেণির ভূমিকা নেই: অধ্যাপক রেহমান সোবহান,"সবার জন্য মানসম্মত শিক্ষা নিশ্চিত করতে বা শিক্ষার মানোন্নয়নে শাসকশ্রেণির কোনো ভূমিকা দেখছেন না অধ্যাপক রেহমান সোবহান। তিনি বলেন, যাঁরা শাসকশ্রেণির অন্",Yes,Nuh
শিক্ষা,bn,https://www.newagebd.net/post/education/277395/durga-puja-holiday-starts-for-edn-instts-today,Durga Puja holiday starts for edn instts today,"A long holiday marking Durga Puja, the largest religious festival of the Hindu community, starts today at all educational institutions, from primary t",Yes,Nuh
শিক্ষা,bn,https://www.prothomalo.com/bangladesh/district/ch4my2e972,‘ছেলে আমাকে সেরা মায়ের সম্মান দিয়ে গেল’,"‘আমার তো অনেক আশা ছিল। আমার ছেলে পড়ালেখা করে অ্যাওয়ার্ড নিয়ে আসবে। আমি সেরা মা হব। সে ইচ্ছা যে এভাবে ফলে যাবে, তা কে জানত। আমার বাবা যে এত বড় অ্যাওয়ার",No,Nuh
শিক্ষা,bn,https://www.dhakapost.com/politics/399912,"নৈতিকতাহীন শিক্ষাব্যবস্থা পশু তৈরি করছে, মানুষ নয়","দেশের শিক্ষাব্যবস্থা নিয়ে প্রশ্ন তুলে বাংলাদেশ জামায়াতে ইসলামীর সেক্রেটারি জেনারেল অধ্যাপক মিয়া গোলাম পরওয়ার বলেছেন, শুধু সেক্যুলার শিক্ষা মানুষকে নৈত",Yes,Nuh
শিক্ষা,bn,https://www.banglatribune.com/country/60371/%E0%A6%AE%E0%A7%8B%E0%A6%9F%E0%A6%B0%E0%A6%B8%E0%A6%BE%E0%A6%87%E0%A6%95%E0%A7%87%E0%A6%B2-%E0%A6%9A%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A7%9F%E0%A7%87-%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A7%81%E0%A6%B2%E0%A7%87-%E0%A6%AF%E0%A6%BE%E0%A6%93%E0%A7%9F%E0%A6%BE%E0%A6%B0-%E0%A6%AA%E0%A6%A5%E0%A7%87-%E0%A6%9B%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%AE%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%81,মোটরসাইকেল চালিয়ে স্কুলে যাওয়ার পথে ছাত্রের মৃত্যু,সাতক্ষীরায় মোটরসাইকেল চালাতে গিয়ে সড়ক দুর্ঘটনার শিকার হলো সাকিব হোসেন (১৪) নামের এক স্কুলছাত্র। বৃহস্পতিবার সকাল ১০টার দিকে শহরের স্টেডিয়াম ব্রিজ সংলগ,No,Nuh
শিক্ষা,bn,https://www.banglatribune.com/country/63719/%E0%A6%B2%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A7%8D%E0%A6%AE%E0%A7%80%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A7%87-%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A7%81%E0%A6%B2%E0%A6%9B%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%80%E0%A6%B0-%E0%A6%9D%E0%A7%81%E0%A6%B2%E0%A6%A8%E0%A7%8D%E0%A6%A4-%E0%A6%B2%E0%A6%BE%E0%A6%B6-%E0%A6%89%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A6%BE%E0%A6%B0,লক্ষ্মীপুরে স্কুলছাত্রীর ঝুলন্ত লাশ উদ্ধার,লক্ষ্মীপুরে আয়শা আক্তার নুশু নামে ৪র্থ শ্রেণির এক ছাত্রীর ঝুলন্ত লাশ উদ্ধার করা হয়েছে। সোমবার রাত ১১ টার দিকে পৌর শহরের বাঞ্ছানগর এলাকার গ্রামের বাড়ি,No,Nuh
শিক্ষা,bn,https://www.prothomalo.com/bangladesh/শিক্ষাপ্রতিষ্ঠান-ধ্বংসকারীরা-সভ্যতার-শত্রু,শিক্ষাপ্রতিষ্ঠান ধ্বংসকারীরা সভ্যতার শত্রু: শিক্ষামন্ত্রী,নির্বাচন প্রতিরোধের নামে পেট্রল ও গান পাউডার দিয়ে স্কুল-কলেজ-মাদ্রাসা পুড়িয়ে দেওয়ায় তীব্র ক্ষোভ প্রকাশ করেছেন শিক্ষামন্ত্রী নুরুল ইসলাম নাহিদ।আজ শনিবা,Yes,Nuh
